Mes,Sucursal,Trabajadores,HH
Enero,ELECTROCOM VALDIVIA,32,5632
Febrero,ELECTROCOM VALDIVIA,32,5632
Marzo,ELECTROCOM VALDIVIA,0,0
Abril,ELECTROCOM VALDIVIA,0,0
Mayo,ELECTROCOM VALDIVIA,0,0
Junio,ELECTROCOM VALDIVIA,0,0
Julio,ELECTROCOM VALDIVIA,0,0
Agosto,ELECTROCOM VALDIVIA,0,0
Septiembre,ELECTROCOM VALDIVIA,0,0
Octubre,ELECTROCOM VALDIVIA,0,0
Noviembre,ELECTROCOM VALDIVIA,0,0
Diciembre,ELECTROCOM VALDIVIA,0,0
Enero,MCT VALDIVIA,79,13904
Febrero,MCT VALDIVIA,79,13904
Marzo,MCT VALDIVIA,0,0
Abril,MCT VALDIVIA,0,0
Mayo,MCT VALDIVIA,0,0
Junio,MCT VALDIVIA,0,0
Julio,MCT VALDIVIA,0,0
Agosto,MCT VALDIVIA,0,0
Septiembre,MCT VALDIVIA,0,0
Octubre,MCT VALDIVIA,0,0
Noviembre,MCT VALDIVIA,0,0
Diciembre,MCT VALDIVIA,0,0
Enero,PLACA CENTRO VALDIVIA,35,6160
Febrero,PLACA CENTRO VALDIVIA,35,6160
Marzo,PLACA CENTRO VALDIVIA,0,0
Abril,PLACA CENTRO VALDIVIA,0,0
Mayo,PLACA CENTRO VALDIVIA,0,0
Junio,PLACA CENTRO VALDIVIA,0,0
Julio,PLACA CENTRO VALDIVIA,0,0
Agosto,PLACA CENTRO VALDIVIA,0,0
Septiembre,PLACA CENTRO VALDIVIA,0,0
Octubre,PLACA CENTRO VALDIVIA,0,0
Noviembre,PLACA CENTRO VALDIVIA,0,0
Diciembre,PLACA CENTRO VALDIVIA,0,0
